Date,Temperature,W_speed,W_direction,Humidity,Tianjin,Weihai,Seoul
20150510,19.1,2.3,270,39.6,49,57,42
20150511,18.4,3,90,62.1,46,48,44
20150512,13.3,6.4,230,75.9,57,52,38
20150513,17.4,5.3,230,56.9,83,77,64
20150514,20.4,3.3,230,63.8,75,95,56
20150515,19.1,2.7,270,71,74,73,91
20150516,18,3,250,41.3,68,65,55
20150517,18.6,2.2,290,40.4,89,82,54
20150518,17.7,3.2,50,53.9,62,71,45
20150519,14.8,3.6,230,88.9,70,104,48
20150520,16.3,3.1,270,60,38,52,44
20150521,18.7,3.7,230,50.1,59,60,44
20150522,20,2.9,270,45.3,67,58,54
20150523,20.6,2.5,250,38.5,86,46,46
20150524,21,2.4,270,37.3,83,57,32
20150525,20.8,2.7,250,53.1,82,60,45
20150526,21.5,2.7,270,48.9,87,54,44
20150527,23.2,2,270,32.9,90,47,40
20150528,24.3,2.2,270,27.1,77,59,42
20150529,23.8,2.5,270,36.8,77,52,48
20150530,19.8,2.9,270,71,69,47,41
20150531,22.1,2.2,250,52.8,83,56,44
20150601,21.7,2.6,270,44.6,82,42,40
20150602,23.1,2.7,270,46.9,63,56,40
20150603,23.3,3.8,290,33.3,59,70,44
20150604,24.2,2.6,270,28.9,74,60,42
20150605,19.1,1.7,160,58.8,70,58,36
20150606,22.4,2.3,50,50.4,76,101,32
20150607,23.4,2.3,270,46.8,44,64,31
20150608,22.4,2.3,270,54.9,48,48,38
20150609,22.2,2.9,270,66.3,79,59,46
20150610,25.3,2.2,290,54.3,82,48,48
20150611,24.6,2.8,160,59.6,44,38,39
20150612,23.6,3.8,230,63.1,35,64,44
20150613,24.7,3.2,230,61.9,51,74,70
20150614,22.8,2.7,290,70.3,41,72,34
20150615,24.2,2.2,290,65.6,57,69,40
20150616,25,2.4,250,65.9,75,74,47
20150617,23.4,2.6,50,72.8,117,88,38
20150618,24.8,2.7,70,59.4,57,76,28
20150619,24.5,2.9,70,57.8,52,72,23
20150620,19.6,1.8,50,91,46,46,40
20150621,22.4,2,250,69.1,70,60,20
20150622,24,2.4,270,60.4,102,50,32
20150623,24.7,2.3,270,64.1,120,56,34
20150624,25.7,2.5,270,58.3,91,47,40
20150625,24.8,2.1,50,65.1,89,49,40
20150626,21,3.3,50,75.8,71,47,12
20150627,25.2,2.2,50,55.3,61,59,11
