Date,Temperature,W_speed,W_direction,Humidity,Tianjin,Weihai,Seoul
2015-01-26,3.6,2.6,12,87.5,3,2,1
2015-01-27,-3.6,3.7,13,55.4,1,1,2
2015-01-28,-4.1,2.3,3,49.3,2,1,1
2015-01-29,-1.1,2.3,3,56.4,2,1,2
2015-01-30,-3.3,3.8,13,51.8,1,2,1
2015-01-31,-4.5,2.6,12,46.4,1,1,1
2015-02-01,-3,1.9,13,44.9,3,1,1
2015-02-02,-0.6,1.5,1,47.3,3,2,1
2015-02-03,0.6,2.1,1,54.5,3,2,2
2015-02-04,0.4,2,12,64.5,1,3,2
2015-02-05,-0.1,3,12,57.1,2,1,2
2015-02-06,0.4,2.2,13,57.3,3,2,2
2015-02-07,1.2,2.6,11,65.3,2,2,1
2015-02-08,-9.8,5.3,13,34.1,1,2,3
2015-02-09,-5.7,3.1,12,54.6,2,2,1
2015-02-10,1.7,2.8,11,69,3,3,2
2015-02-11,2.7,2.5,12,60.3,3,2,2
2015-02-12,-2.2,4.2,12,36.8,2,2,1
2015-02-13,-1.6,3.1,12,46.4,2,2,1
2015-02-14,2,2.2,1,72.9,4,2,2
2015-02-15,7.9,2.9,3,61.6,3,2,2
2015-02-16,5,3.5,3,91.9,3,3,1
2015-02-17,1.9,3.5,13,78.5,2,2,2
2015-02-18,0.8,2.5,12,72,2,2,2
2015-02-19,2.2,1.6,13,67.1,3,2,2
2015-02-20,5.2,2,2,55.3,2,2,2
2015-02-21,5.7,3.4,3,79,4,1,1
2015-02-22,3.5,4.1,12,78,5,6,5
2015-02-23,0.9,3,12,60.4,3,2,7
2015-02-24,2.1,2.3,12,60,3,2,3
2015-02-25,5.4,2.9,2,48.6,3,2,2
2015-02-26,1.2,4.9,12,56.9,2,2,1
2015-02-27,-1.3,3.2,12,35.6,1,1,1
2015-02-28,2.7,2,3,40.5,2,1,1
2015-03-01,2.4,3.7,12,56.8,3,3,2
2015-03-02,3.9,2.8,10,43.5,3,2,2
2015-03-03,2.8,3.4,9,69.5,2,2,2
2015-03-04,-2.1,5.3,12,43.4,2,2,1
2015-03-05,-0.3,1.9,13,41.1,2,2,1
